what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1285352058634
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1285352058634
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1285352058636
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1285352058639
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1285352058641
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1285352058643
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1285352058645
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1285352058647
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1285352058651
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1285352058652
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1285352058655
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1285352058655
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1285352058656
os,sysinfo,,,"win32",1285352058665
arch,sysinfo,,,"x86",1285352058665
ws,sysinfo,,,"win32",1285352058665
locale,sysinfo,,,"en_GB",1285352058665
processors,sysinfo,,,"2",1285352058665
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285352058665
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1285352058665
java.specification.name,sysinfo,,,"Java Platform API Specification",1285352058665
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285352058665
java.specification.version,sysinfo,,,"1.6",1285352058665
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285352058665
java.version,sysinfo,,,"1.6.0_18",1285352058665
