what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1287258620140
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1287258620156
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1287258620271
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v200908101600,"org.eclipse.wst.common.modulecore",1287258620302
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1287258620324
started,bundle,org.eclipse.jst.j2ee,1.1.301.v200909030330,"org.eclipse.jst.j2ee",1287258620360
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258620456
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258628463
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258645668
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258659613
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258701296
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258722642
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258735509
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287258741666
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258747094
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258757532
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258759411
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258772635
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1287258779501
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258786809
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258808819
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258816106
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258824443
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287258824493
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1287258832635
