what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1284518348339
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1284518348354
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1284518348370
started,bundle,org.eclipse.wst.xml.core,1.1.401.v200908242115,"org.eclipse.wst.xml.core",1284518348370
os,sysinfo,,,"win32",1284518348386
arch,sysinfo,,,"x86",1284518348386
ws,sysinfo,,,"win32",1284518348386
locale,sysinfo,,,"en_GB",1284518348386
processors,sysinfo,,,"2",1284518348386
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1284518348386
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1284518348386
java.specification.name,sysinfo,,,"Java Platform API Specification",1284518348386
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284518348386
java.specification.version,sysinfo,,,"1.6",1284518348386
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1284518348386
java.version,sysinfo,,,"1.6.0_18",1284518348386
java.vm.info,sysinfo,,,"mixed mode, sharing",1284518348386
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1284518348386
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1284518348386
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1284518348386
java.vm.specification.version,sysinfo,,,"1.0",1284518348386
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1284518348386
java.vm.version,sysinfo,,,"16.0-b13",1284518348386
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1284518348464
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1284518348666
