what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285292349820
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1285292349820
java.specification.name,sysinfo,,,"Java Platform API Specification",1285292349820
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285292349820
java.specification.version,sysinfo,,,"1.6",1285292349820
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285292349820
java.version,sysinfo,,,"1.6.0_18",1285292349820
java.vm.info,sysinfo,,,"mixed mode, sharing",1285292349820
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285292349820
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285292349820
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285292349820
java.vm.specification.version,sysinfo,,,"1.0",1285292349820
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285292349820
java.vm.version,sysinfo,,,"16.0-b13",1285292349820
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285292351302
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1285292360887
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285292383413
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285292383787
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1285292387360
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285292427358
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1285292429027
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1285292434004
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285292465656
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285292470461
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285292470633
