what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285303884985
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1285303884985
java.specification.name,sysinfo,,,"Java Platform API Specification",1285303884985
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285303884985
java.specification.version,sysinfo,,,"1.6",1285303884985
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285303884985
java.version,sysinfo,,,"1.6.0_18",1285303884985
java.vm.info,sysinfo,,,"mixed mode, sharing",1285303884985
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285303884985
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285303884985
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285303884985
java.vm.specification.version,sysinfo,,,"1.0",1285303884985
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285303884985
java.vm.version,sysinfo,,,"16.0-b13",1285303884985
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285304212790
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285304225426
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285304225676
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1285304225770
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1285304251307
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1285304251603
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1285304257906
started,bundle,org.eclipse.wst.server.core,1.1.102.v20090825,"org.eclipse.wst.server.core",1285304258093
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20090909,"org.eclipse.wst.server.ui",1285304258124
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1285304258202
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1285304258389
