what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1285355590989
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1285355591016
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1285355591016
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1285355591017
os,sysinfo,,,"win32",1285355591025
arch,sysinfo,,,"x86",1285355591025
ws,sysinfo,,,"win32",1285355591025
locale,sysinfo,,,"en_GB",1285355591025
processors,sysinfo,,,"2",1285355591025
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1285355591025
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1285355591025
java.specification.name,sysinfo,,,"Java Platform API Specification",1285355591025
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285355591025
java.specification.version,sysinfo,,,"1.6",1285355591025
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1285355591025
java.version,sysinfo,,,"1.6.0_18",1285355591025
java.vm.info,sysinfo,,,"mixed mode, sharing",1285355591025
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1285355591025
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1285355591025
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1285355591025
java.vm.specification.version,sysinfo,,,"1.0",1285355591025
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1285355591025
java.vm.version,sysinfo,,,"16.0-b13",1285355591025
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1285355591058
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1285355591069
